copper_height,f_max,f_min,feed_depth,feed_gap_width,feed_width,l3horizontal,l3vertical,patch_length,patch_width,permittivity,realized_gain,resonance,s11,substrate_height,bandwidth
0.035,3.0,1.0,8.0,2.1333,3.06,-3.665,2.2816,32.0,35.2,3.6,2.2816,2.41,-18.469,1.3716,0.08292000000000001
0.035,3.0,1.0,8.0,2.1333,2.7,-3.9443,1.6883,32.0,35.2,4.3,1.6883,2.21,-19.843,1.3716,0.074228
0.035,3.0,1.0,8.0,2.1333,2.385,-4.149,1.2121,32.0,35.2,5.0,1.2121,2.05,-21.303,1.3716,0.067276
0.035,3.0,1.0,4.0,2.1333,3.06,-3.9745,1.9906,32.0,35.2,3.6,1.9906,2.3819999999999997,-12.838,1.3716,0.067563
0.035,3.0,1.0,4.0,2.1333,2.7,-4.1879,1.4514,32.0,35.2,4.3,1.4514,2.186,-13.964,1.3716,0.063996
0.035,3.0,1.0,4.0,2.1333,2.385,-4.3973,0.9627,32.0,35.2,5.0,0.9627,2.03,-15.328,1.3716,0.061284000000000005
0.035,3.0,1.0,8.0,6.4,3.4,-3.2734,2.7326,32.0,35.2,3.6,2.7326,2.4859999999999998,-26.68,1.524,0.077918
0.035,3.0,1.0,8.0,6.4,3.0,-3.5319,2.1691,32.0,35.2,4.3,2.1691,2.28,-24.535999999999998,1.524,0.06756000000000001
0.035,3.0,1.0,8.0,6.4,2.65,-3.8242,1.6151,32.0,35.2,5.0,1.6151,2.1180000000000003,-22.636,1.524,0.060135
0.035,3.0,1.0,4.0,6.4,3.4,-3.5891,2.4463,32.0,35.2,3.6,2.4463,2.438,-12.458,1.524,0.07055
0.035,3.0,1.0,4.0,6.4,3.0,-3.7624,1.9427,32.0,35.2,4.3,1.9427,2.238,-13.452,1.524,0.066073
0.035,3.0,1.0,4.0,6.4,2.65,-3.9104,1.5152,32.0,35.2,5.0,1.5152,2.08,-14.765999999999998,1.524,0.06346399999999999
0.035,3.0,1.0,8.0,2.1333,3.4,-3.4094,2.5313,32.0,35.2,3.6,2.5313,2.406,-16.633,1.524,0.085316
0.035,3.0,1.0,8.0,2.1333,3.0,-3.6687,1.9603,32.0,35.2,4.3,1.9603,2.206,-17.497,1.524,0.076284
0.035,3.0,1.0,8.0,2.1333,2.65,-3.8856,1.4703,32.0,35.2,5.0,1.4703,2.048,-18.712,1.524,0.069751
0.035,3.0,1.0,4.0,2.1333,3.4,-3.7602,2.1998,32.0,35.2,3.6,2.1998,2.376,-11.774000000000001,1.524,0.062624
0.035,3.0,1.0,4.0,2.1333,3.0,-3.9649,1.6712,32.0,35.2,4.3,1.6712,2.18,-12.637,1.524,0.061834
0.035,3.0,1.0,4.0,2.1333,2.65,-4.1172,1.2386,32.0,35.2,5.0,1.2386,2.026,-13.819,1.524,0.060691999999999996
0.035,3.0,1.0,8.0,6.4,3.74,-2.9719,3.0239,32.0,35.2,3.6,3.0239,2.4819999999999998,-35.857,1.6764,0.083477
0.035,3.0,1.0,8.0,6.4,3.3,-3.1973,2.4946,32.0,35.2,4.3,2.4946,2.278,-31.675,1.6764,0.072631
0.035,3.0,1.0,8.0,6.4,2.915,-3.5047,1.9269,32.0,35.2,5.0,1.9269,2.114,-27.59,1.6764,0.06517300000000001
0.035,3.0,1.0,4.0,6.4,3.74,-3.4094,2.6191,32.0,35.2,3.6,2.6191,2.434,-11.54,1.6764,0.064462
