copper_height,f_max,f_min,feed_depth,feed_gap_width,feed_width,l3horizontal,l3vertical,patch_length,patch_width,permittivity,realized_gain,resonance,s11,substrate_height
0.035,,,0.044444,0.24,0.07,-3.5993,2.6402,0.8,1.0,4.3,2.6402,89.0,-27.163,0.05
0.035,,,0.26667,0.08,0.07,-3.6805,2.3857,0.8,1.0,4.3,2.3857,89.05,-20.068,0.05
0.035,,,0.13333,0.08,0.07,-3.7904,2.3806,0.8,1.0,4.3,2.3806,88.25,-34.124,0.05
0.035,,,0.044444,0.08,0.07,-3.9391,2.2508,0.8,1.0,4.3,2.2508,87.5,-29.01,0.05
0.035,,,0.26667,0.026667000000000003,0.07,-3.7415,2.399,0.8,1.0,4.3,2.399,87.95,-34.327,0.05
0.035,,,0.13333,0.026667000000000003,0.07,-3.9032,2.2715,0.8,1.0,4.3,2.2715,87.45,-26.575,0.05
0.035,,,0.044444,0.026667000000000003,0.07,-3.9344,2.2532,0.8,1.0,4.3,2.2532,87.2,-26.01,0.05
0.035,,,0.26667,0.24,0.1,-4.1462,1.7191,0.8,1.0,4.3,1.7191,90.9,-6.6472,0.07
0.035,,,0.13333,0.24,0.1,-2.3856,3.8202,0.8,1.0,4.3,3.8202,90.75,-22.99,0.07
0.035,,,0.044444,0.24,0.1,-2.7661,3.4268,0.8,1.0,4.3,3.4268,87.9,-16.832,0.07
0.035,,,0.26667,0.08,0.1,-2.5282,3.498,0.8,1.0,4.3,3.498,88.1,-29.655,0.07
0.035,,,0.13333,0.08,0.1,-2.8507,3.2785,0.8,1.0,4.3,3.2785,87.15,-18.691,0.07
0.035,,,0.044444,0.08,0.1,-3.0511,3.0962,0.8,1.0,4.3,3.0962,86.35,-16.983,0.07
0.035,,,0.26667,0.026667000000000003,0.1,-2.5657,3.5287,0.8,1.0,4.3,3.5287,87.25,-21.789,0.07
0.035,,,0.13333,0.026667000000000003,0.1,-2.8104,3.3272,0.8,1.0,4.3,3.3272,86.7,-16.854,0.07
0.035,,,0.044444,0.026667000000000003,0.1,-2.9091,3.2417,0.8,1.0,4.3,3.2417,86.35,-15.884,0.07
0.035,,,0.26667,0.24,0.14,-2.7623,3.055,0.8,1.0,4.3,3.055,90.3,-8.0073,0.09
0.035,,,0.13333,0.24,0.14,-1.9491,4.195,0.8,1.0,4.3,4.195,89.9,-15.617,0.09
0.035,,,0.044444,0.24,0.14,-2.4008,3.742,0.8,1.0,4.3,3.742,87.05,-12.369000000000002,0.09
0.035,,,0.26667,0.08,0.14,-1.7768,4.1947,0.8,1.0,4.3,4.1947,87.55,-36.229,0.09
0.035,,,0.13333,0.08,0.14,-2.3206,3.7697,0.8,1.0,4.3,3.7697,86.5,-13.703,0.09
0.035,,,0.044444,0.08,0.14,-2.5621,3.5502,0.8,1.0,4.3,3.5502,85.6,-12.268,0.09
0.035,,,0.26667,0.026667000000000003,0.14,-2.0456,4.0025,0.8,1.0,4.3,4.0025,86.7,-16.125,0.09
0.035,,,0.13333,0.026667000000000003,0.14,-2.3884,3.705,0.8,1.0,4.3,3.705,85.95,-12.694,0.09
0.035,,,0.044444,0.026667000000000003,0.14,-2.5317,3.5771,0.8,1.0,4.3,3.5771,85.55,-11.941,0.09
0.035,,,0.26667,0.24,0.07,-9.8018,-3.7012,0.8,1.1,4.3,-3.7012,89.95,-4.498,0.05
0.035,,,0.13333,0.24,0.07,-3.3958,3.1735,0.8,1.1,4.3,3.1735,91.05,-19.561,0.05
0.035,,,0.044444,0.24,0.07,-3.66,2.9285,0.8,1.1,4.3,2.9285,88.55,-42.146,0.05
0.035,,,0.26667,0.08,0.07,-4.0053,2.3983,0.8,1.1,4.3,2.3983,88.5,-16.012,0.05
0.035,,,0.13333,0.08,0.07,-3.8277,2.6887,0.8,1.1,4.3,2.6887,87.85,-30.964,0.05
0.035,,,0.044444,0.08,0.07,-3.9348,2.5987,0.8,1.1,4.3,2.5987,87.2,-43.124,0.05
0.035,,,0.26667,0.026667000000000003,0.07,-3.8474,2.6363,0.8,1.1,4.3,2.6363,87.6,-31.18,0.05
0.035,,,0.13333,0.026667000000000003,0.07,-3.8951,2.6229,0.8,1.1,4.3,2.6229,87.15,-44.911,0.05
0.035,,,0.044444,0.026667000000000003,0.07,-3.9291,2.5975,0.8,1.1,4.3,2.5975,86.9,-40.01,0.05
0.035,,,0.26667,0.24,0.1,-6.1406,0.017129,0.8,1.1,4.3,0.017129,89.05,-4.6852,0.07
0.035,,,0.13333,0.24,0.1,-2.3629,4.1514,0.8,1.1,4.3,4.1514,89.8,-33.339,0.07
0.035,,,0.044444,0.24,0.1,-2.7318,3.8073,0.8,1.1,4.3,3.8073,87.4,-21.101,0.07
0.035,,,0.26667,0.08,0.1,-2.7382,3.6247,0.8,1.1,4.3,3.6247,87.45,-19.842,0.07
0.035,,,0.13333,0.08,0.1,-2.8586,3.6188,0.8,1.1,4.3,3.6188,86.7,-23.93,0.07
0.035,,,0.044444,0.08,0.1,-3.0088,3.4854,0.8,1.1,4.3,3.4854,85.95,-20.322,0.07
0.035,,,0.26667,0.026667000000000003,0.1,-2.5543,3.8848,0.8,1.1,4.3,3.8848,86.8,-32.233000000000004,0.07
0.035,,,0.13333,0.026667000000000003,0.1,-2.7692,3.7166,0.8,1.1,4.3,3.7166,86.3,-20.497,0.07
0.035,,,0.044444,0.026667000000000003,0.1,-2.8352,3.6651,0.8,1.1,4.3,3.6651,86.0,-18.815,0.07
0.035,,,0.26667,0.24,0.14,-4.3551,1.7515,0.8,1.1,4.3,1.7515,88.25,-5.2037,0.09
0.035,,,0.13333,0.24,0.14,-1.8165,4.6268,0.8,1.1,4.3,4.6268,88.9,-23.33,0.09
0.035,,,0.044444,0.24,0.14,-2.3059,4.1792,0.8,1.1,4.3,4.1792,86.45,-14.809,0.09
0.035,,,0.26667,0.08,0.14,-1.8856,4.4212,0.8,1.1,4.3,4.4212,86.75,-23.488000000000003,0.09
0.035,,,0.13333,0.08,0.14,-2.2328,4.2009,0.8,1.1,4.3,4.2009,85.95,-16.637999999999998,0.09
0.035,,,0.044444,0.08,0.14,-2.4824,3.9811,0.8,1.1,4.3,3.9811,85.15,-14.248,0.09
0.035,,,0.26667,0.026667000000000003,0.14,-1.9781,4.4092,0.8,1.1,4.3,4.4092,86.1,-20.702,0.09
0.035,,,0.13333,0.026667000000000003,0.14,-2.3137,4.1276,0.8,1.1,4.3,4.1276,85.5,-14.951,0.09
0.035,,,0.044444,0.026667000000000003,0.14,-2.4352,4.0253,0.8,1.1,4.3,4.0253,85.15,-13.806,0.09
0.035,,,0.28333,0.255,0.07,-3.0039,1.9997,0.85,0.7,4.3,1.9997,97.75,-19.213,0.05
0.035,,,0.14167000000000002,0.255,0.07,-4.0349,0.992,0.85,0.7,4.3,0.992,90.85,-10.603,0.05
0.035,,,0.047222,0.255,0.07,-4.0458,0.8859799999999999,0.85,0.7,4.3,0.8859799999999999,85.95,-13.152,0.05
0.035,,,0.28333,0.085,0.07,-3.6428,1.1801,0.85,0.7,4.3,1.1801,86.5,-17.014,0.05
0.035,,,0.14167000000000002,0.085,0.07,-4.1214,0.7519399999999999,0.85,0.7,4.3,0.7519399999999999,84.9,-14.461,0.05
0.035,,,0.047222,0.085,0.07,-4.2379,0.6423300000000001,0.85,0.7,4.3,0.6423300000000001,83.85,-15.136,0.05
0.035,,,0.28333,0.028333,0.07,-4.085,0.7605,0.85,0.7,4.3,0.7605,84.45,-14.299,0.05
0.035,,,0.14167000000000002,0.028333,0.07,-4.253,0.61248,0.85,0.7,4.3,0.61248,83.7,-14.374,0.05
0.035,,,0.047222,0.028333,0.07,-4.2799,0.59395,0.85,0.7,4.3,0.59395,83.4,-14.77,0.05
0.035,,,0.28333,0.255,0.1,-2.1537,2.8772,0.85,0.7,4.3,2.8772,98.05,-12.873,0.07
0.035,,,0.14167000000000002,0.255,0.1,-3.403,1.567,0.85,0.7,4.3,1.567,89.85,-8.3519,0.07
0.035,,,0.047222,0.255,0.1,-3.3435,1.5459,0.85,0.7,4.3,1.5459,85.2,-9.6727,0.07
0.035,,,0.28333,0.085,0.1,-2.7041,2.0934,0.85,0.7,4.3,2.0934,86.15,-12.871,0.07
