permittivity,f_max,f_min,feed_depth,feed_gap_width,feed_width,substrate_height,patch_length,copper_height,patch_width,resonance,s11,realized_gain,l3vertical,l3horizontal
4.3,3,1,8.0,6.4,2.7,1.3716,32.0,0.035,35.2,2.2840000000000003,-21.206,1.7625,1.7625,-3.9448
5.0,3,1,8.0,6.4,2.385,1.3716,32.0,0.035,35.2,2.122,-20.045,1.2566,1.2566,-4.1885
3.6,3,1,4.0,6.4,3.06,1.3716,32.0,0.035,35.2,2.442,-13.613,2.2234,2.2234,-3.8167
4.3,3,1,4.0,6.4,2.7,1.3716,32.0,0.035,35.2,2.242,-14.936,1.7032,1.7032,-4.0066
5.0,3,1,4.0,6.4,2.385,1.3716,32.0,0.035,35.2,2.082,-16.487000000000002,1.2083,1.2083,-4.2206
3.6,3,1,8.0,2.1333,3.06,1.3716,32.0,0.035,35.2,2.41,-18.469,2.2816,2.2816,-3.665
4.3,3,1,8.0,2.1333,2.7,1.3716,32.0,0.035,35.2,2.21,-19.843,1.6883,1.6883,-3.9443
5.0,3,1,8.0,2.1333,2.385,1.3716,32.0,0.035,35.2,2.05,-21.303,1.2121,1.2121,-4.149
3.6,3,1,4.0,2.1333,3.06,1.3716,32.0,0.035,35.2,2.382,-12.838,1.9906,1.9906,-3.9745
4.3,3,1,4.0,2.1333,2.7,1.3716,32.0,0.035,35.2,2.186,-13.964,1.4514,1.4514,-4.1879
5.0,3,1,4.0,2.1333,2.385,1.3716,32.0,0.035,35.2,2.03,-15.328,0.9627,0.9627,-4.3973
3.6,3,1,8.0,6.4,3.4,1.524,32.0,0.035,35.2,2.486,-26.68,2.7326,2.7326,-3.2734
4.3,3,1,8.0,6.4,3.0,1.524,32.0,0.035,35.2,2.28,-24.536,2.1691,2.1691,-3.5319
5.0,3,1,8.0,6.4,2.65,1.524,32.0,0.035,35.2,2.1180000000000003,-22.636,1.6151,1.6151,-3.8242
3.6,3,1,4.0,6.4,3.4,1.524,32.0,0.035,35.2,2.438,-12.458,2.4463,2.4463,-3.5891
4.3,3,1,4.0,6.4,3.0,1.524,32.0,0.035,35.2,2.238,-13.452,1.9427,1.9427,-3.7624
5.0,3,1,4.0,6.4,2.65,1.524,32.0,0.035,35.2,2.08,-14.765999999999998,1.5152,1.5152,-3.9104
3.6,3,1,8.0,2.1333,3.4,1.524,32.0,0.035,35.2,2.406,-16.633,2.5313,2.5313,-3.4094
4.3,3,1,8.0,2.1333,3.0,1.524,32.0,0.035,35.2,2.206,-17.497,1.9603,1.9603,-3.6687
5.0,3,1,8.0,2.1333,2.65,1.524,32.0,0.035,35.2,2.048,-18.712,1.4703,1.4703,-3.8856
3.6,3,1,4.0,2.1333,3.4,1.524,32.0,0.035,35.2,2.376,-11.774,2.1998,2.1998,-3.7602
4.3,3,1,4.0,2.1333,3.0,1.524,32.0,0.035,35.2,2.18,-12.637,1.6712,1.6712,-3.9649
5.0,3,1,4.0,2.1333,2.65,1.524,32.0,0.035,35.2,2.026,-13.819,1.2386,1.2386,-4.1172
3.6,3,1,8.0,6.4,3.74,1.6764,32.0,0.035,35.2,2.482,-35.857,3.0239,3.0239,-2.9719
4.3,3,1,8.0,6.4,3.3,1.6764,32.0,0.035,35.2,2.278,-31.675,2.4946,2.4946,-3.1973
5.0,3,1,8.0,6.4,2.915,1.6764,32.0,0.035,35.2,2.114,-27.59,1.9269,1.9269,-3.5047
3.6,3,1,4.0,6.4,3.74,1.6764,32.0,0.035,35.2,2.434,-11.54,2.6191,2.6191,-3.4094
4.3,3,1,4.0,6.4,3.3,1.6764,32.0,0.035,35.2,2.234,-12.374,2.1402,2.1402,-3.5589
5.0,3,1,4.0,6.4,2.915,1.6764,32.0,0.035,35.2,2.074,-13.481,1.7512,1.7512,-3.6687
3.6,3,1,8.0,2.1333,3.74,1.6764,32.0,0.035,35.2,2.404,-15.507,2.7952,2.7952,-3.1385
4.3,3,1,8.0,2.1333,3.3,1.6764,32.0,0.035,35.2,2.204,-16.186,2.2485,2.2485,-3.3749
5.0,3,1,8.0,2.1333,2.915,1.6764,32.0,0.035,35.2,2.046,-17.18,1.7516,1.7516,-3.5988
