permittivity,f_max,f_min,feed_depth,feed_gap_width,feed_width,substrate_height,patch_length,copper_height,patch_width,resonance,s11,realized_gain,l3vertical,l3horizontal
3.6,65,35,0.20625,0.11,0.14256,0.0639,1.65,0.035,1.815,46.82,-16.660999999999998,1.5652,1.5652,-4.5257
4.3,65,35,0.20625,0.11,0.12579,0.0639,1.65,0.035,1.815,42.98,-18.840999999999998,0.98735,0.98735,-4.7698
5.0,65,35,0.20625,0.11,0.11110999999999999,0.0639,1.65,0.035,1.815,39.98,-21.842,0.44501999999999997,0.44501999999999997,-5.0455
3.6,65,35,0.4125,0.33,0.1584,0.071,1.65,0.035,1.815,48.95,-39.279,2.3428,2.3428,-3.7289
4.3,65,35,0.4125,0.33,0.13976,0.071,1.65,0.035,1.815,44.93,-36.498000000000005,1.7039,1.7039,-4.0744
5.0,65,35,0.4125,0.33,0.12345999999999999,0.071,1.65,0.035,1.815,41.75,-29.485,1.0868,1.0868,-4.4525
3.6,65,35,0.20625,0.33,0.1584,0.071,1.65,0.035,1.815,47.87,-14.981,2.0621,2.0621,-4.0745
4.3,65,35,0.20625,0.33,0.13976,0.071,1.65,0.035,1.815,43.97,-16.429000000000002,1.5219,1.5219,-4.2892
5.0,65,35,0.20625,0.33,0.12345999999999999,0.071,1.65,0.035,1.815,40.88,-18.5,0.98041,0.98041,-4.571000000000001
3.6,65,35,0.4125,0.11,0.1584,0.071,1.65,0.035,1.815,47.24,-17.195999999999998,2.0199,2.0199,-4.0324
4.3,65,35,0.4125,0.11,0.13976,0.071,1.65,0.035,1.815,43.31,-18.205,1.3719,1.3719,-4.3654
5.0,65,35,0.4125,0.11,0.12345999999999999,0.071,1.65,0.035,1.815,40.25,-20.204,0.8165100000000001,0.8165100000000001,-4.6611
3.6,65,35,0.20625,0.11,0.1584,0.071,1.65,0.035,1.815,46.7,-14.664000000000001,1.8026,1.8026,-4.2805
4.3,65,35,0.20625,0.11,0.13976,0.071,1.65,0.035,1.815,42.86,-16.213,1.2055,1.2055,-4.548
5.0,65,35,0.20625,0.11,0.12345999999999999,0.071,1.65,0.035,1.815,39.89,-18.178,0.7032,0.7032,-4.7843
3.6,65,35,0.4125,0.33,0.17424,0.0781,1.65,0.035,1.815,48.89,-38.900999999999996,2.6734,2.6734,-3.392
4.3,65,35,0.4125,0.33,0.15374000000000002,0.0781,1.65,0.035,1.815,44.9,-42.18899999999999,2.0772,2.0772,-3.6971
5.0,65,35,0.4125,0.33,0.1358,0.0781,1.65,0.035,1.815,41.72,-40.589,1.5204,1.5204,-4.013999999999999
3.6,65,35,0.20625,0.33,0.17424,0.0781,1.65,0.035,1.815,47.81,-13.437000000000001,2.3146,2.3146,-3.8155
4.3,65,35,0.20625,0.33,0.15374000000000002,0.0781,1.65,0.035,1.815,43.91,-14.455,1.7884,1.7884,-4.0198
