permittivity,f_max,f_min,feed_depth,feed_gap_width,feed_width,substrate_height,patch_length,copper_height,patch_width,resonance,s11,realized_gain,l3vertical,l3horizontal
4.3,105,55,0.1125,0.06,0.12579,0.0639,0.9,0.035,0.99,77.95,-10.439,2.217,2.217,-3.5498
5.0,105,55,0.1125,0.06,0.11110999999999999,0.0639,0.9,0.035,0.99,72.5,-11.232999999999999,1.8426,1.8426,-3.6630000000000003
3.6,105,55,0.225,0.18,0.1584,0.071,0.9,0.035,0.99,89.1,-14.875,3.8249,3.8249,-2.1785
4.3,105,55,0.225,0.18,0.13976,0.071,0.9,0.035,0.99,81.8,-15.302999999999999,3.3173,3.3173,-2.4258
5.0,105,55,0.225,0.18,0.12345999999999999,0.071,0.9,0.035,0.99,75.95,-15.911,2.9012,2.9012,-2.62
3.6,105,55,0.1125,0.18,0.1584,0.071,0.9,0.035,0.99,86.7,-9.283999999999999,3.0739,3.0739,-2.9917
4.3,105,55,0.1125,0.18,0.13976,0.071,0.9,0.035,0.99,79.7,-9.8295,2.6445,2.6445,-3.1454
5.0,105,55,0.1125,0.18,0.12345999999999999,0.071,0.9,0.035,0.99,74.1,-10.489,2.2979,2.2979,-3.2521
3.6,105,55,0.225,0.06,0.1584,0.071,0.9,0.035,0.99,85.8,-10.499,3.1693,3.1693,-2.842
4.3,105,55,0.225,0.06,0.13976,0.071,0.9,0.035,0.99,78.75,-10.911,2.6889999999999996,2.6889999999999996,-3.0436
5.0,105,55,0.225,0.06,0.12345999999999999,0.071,0.9,0.035,0.99,73.1,-11.46,2.2838,2.2838,-3.198
3.6,105,55,0.1125,0.06,0.1584,0.071,0.9,0.035,0.99,84.5,-9.0752,2.7938,2.7938,-3.2436
4.3,105,55,0.1125,0.06,0.13976,0.071,0.9,0.035,0.99,77.7,-9.6051,2.362,2.362,-3.3906
5.0,105,55,0.1125,0.06,0.12345999999999999,0.071,0.9,0.035,0.99,72.25,-10.282,2.0032,2.0032,-3.492
3.6,105,55,0.225,0.18,0.17424,0.0781,0.9,0.035,0.99,88.9,-13.655,3.9583,3.9583,-2.0216
4.3,105,55,0.225,0.18,0.15374000000000002,0.0781,0.9,0.035,0.99,81.6,-14.014000000000001,3.4693,3.4693,-2.2578
5.0,105,55,0.225,0.18,0.1358,0.0781,0.9,0.035,0.99,75.75,-14.525,3.0637,3.0637,-2.4457
