speed of light,permittivity,patch_length,patch_width,substrate_height,feed_depth,feed_gap_width,resonance,s11,realized_gain,l3vertical,l3horizontal
299792458000.0,4.3,0.8,0.9,0.09,0.13333,0.24,91050000000.0,-11.704,3.6419,3.6419,-2.164
299792458000.0,4.3,0.8,0.9,0.09,0.044444,0.24,87700000000.0,-10.488,3.2289,3.2289,-2.5603
299792458000.0,4.3,0.8,0.9,0.09,0.26667,0.08,88550000000.0,-20.086,3.8768,3.8768,-1.776
299792458000.0,4.3,0.8,0.9,0.09,0.13333,0.08,87100000000.0,-11.511,3.3094,3.3094,-2.437
299792458000.0,4.3,0.8,0.9,0.09,0.044444,0.08,86100000000.0,-10.647,3.0988,3.0988,-2.6639
299792458000.0,4.3,0.8,0.9,0.09,0.26667,0.026667000000000003,87400000000.0,-13.140999999999998,3.5498,3.5498,-2.1616
299792458000.0,4.3,0.8,0.9,0.09,0.13333,0.026667000000000003,86500000000.0,-10.892,3.2147,3.2147,-2.5333
299792458000.0,4.3,0.8,0.9,0.09,0.044444,0.026667000000000003,86050000000.0,-10.382,3.1196,3.1196,-2.6393
299792458000.0,4.3,0.8,1.0,0.05,0.26667,0.24,91750000000.0,-5.6995,-1.1188,-1.1188,-6.9602
299792458000.0,4.3,0.8,1.0,0.05,0.13333,0.24,91950000000.0,-34.554,2.971,2.971,-3.2862
299792458000.0,4.3,0.8,1.0,0.05,0.044444,0.24,89000000000.0,-27.163,2.6402,2.6402,-3.5993
299792458000.0,4.3,0.8,1.0,0.05,0.26667,0.08,89050000000.0,-20.068,2.3857,2.3857,-3.6805
299792458000.0,4.3,0.8,1.0,0.05,0.13333,0.08,88250000000.0,-34.124,2.3806,2.3806,-3.7904
299792458000.0,4.3,0.8,1.0,0.05,0.044444,0.08,87500000000.0,-29.01,2.2508,2.2508,-3.9391
299792458000.0,4.3,0.8,1.0,0.05,0.26667,0.026667000000000003,87950000000.0,-34.327,2.399,2.399,-3.7415
299792458000.0,4.3,0.8,1.0,0.05,0.13333,0.026667000000000003,87450000000.0,-26.575,2.2715,2.2715,-3.9032
299792458000.0,4.3,0.8,1.0,0.05,0.044444,0.026667000000000003,87200000000.0,-26.01,2.2532,2.2532,-3.9344
299792458000.0,4.3,0.8,1.0,0.07,0.26667,0.24,90900000000.0,-6.6472,1.7191,1.7191,-4.1462
299792458000.0,4.3,0.8,1.0,0.07,0.13333,0.24,90750000000.0,-22.99,3.8202,3.8202,-2.3856
299792458000.0,4.3,0.8,1.0,0.07,0.044444,0.24,87900000000.0,-16.832,3.4268,3.4268,-2.7661
299792458000.0,4.3,0.8,1.0,0.07,0.26667,0.08,88100000000.0,-29.655,3.498,3.498,-2.5282
299792458000.0,4.3,0.8,1.0,0.07,0.13333,0.08,87150000000.0,-18.691,3.2785,3.2785,-2.8507
299792458000.0,4.3,0.8,1.0,0.07,0.044444,0.08,86350000000.0,-16.983,3.0962,3.0962,-3.0511
299792458000.0,4.3,0.8,1.0,0.07,0.26667,0.026667000000000003,87250000000.0,-21.789,3.5287,3.5287,-2.5657
299792458000.0,4.3,0.8,1.0,0.07,0.13333,0.026667000000000003,86700000000.0,-16.854,3.3272,3.3272,-2.8104
299792458000.0,4.3,0.8,1.0,0.07,0.044444,0.026667000000000003,86350000000.0,-15.884,3.2417,3.2417,-2.9091
299792458000.0,4.3,0.8,1.0,0.09,0.26667,0.24,90300000000.0,-8.0073,3.055,3.055,-2.7623
299792458000.0,4.3,0.8,1.0,0.09,0.13333,0.24,89900000000.0,-15.617,4.195,4.195,-1.9491
299792458000.0,4.3,0.8,1.0,0.09,0.044444,0.24,87050000000.0,-12.369000000000002,3.742,3.742,-2.4008
299792458000.0,4.3,0.8,1.0,0.09,0.26667,0.08,87550000000.0,-36.229,4.1947,4.1947,-1.7768
299792458000.0,4.3,0.8,1.0,0.09,0.13333,0.08,86500000000.0,-13.703,3.7697,3.7697,-2.3206
299792458000.0,4.3,0.8,1.0,0.09,0.044444,0.08,85600000000.0,-12.268,3.5502,3.5502,-2.5621
299792458000.0,4.3,0.8,1.0,0.09,0.26667,0.026667000000000003,86700000000.0,-16.125,4.0025,4.0025,-2.0456
299792458000.0,4.3,0.8,1.0,0.09,0.13333,0.026667000000000003,85950000000.0,-12.694,3.705,3.705,-2.3884
299792458000.0,4.3,0.8,1.0,0.09,0.044444,0.026667000000000003,85550000000.0,-11.941,3.5771,3.5771,-2.5317
299792458000.0,4.3,0.8,1.1,0.05,0.26667,0.24,89950000000.0,-4.498,-3.7012,-3.7012,-9.8018
299792458000.0,4.3,0.8,1.1,0.05,0.13333,0.24,91050000000.0,-19.561,3.1735,3.1735,-3.3958
299792458000.0,4.3,0.8,1.1,0.05,0.044444,0.24,88550000000.0,-42.146,2.9285,2.9285,-3.66
299792458000.0,4.3,0.8,1.1,0.05,0.26667,0.08,88500000000.0,-16.012,2.3983,2.3983,-4.0053
299792458000.0,4.3,0.8,1.1,0.05,0.13333,0.08,87850000000.0,-30.964,2.6887,2.6887,-3.8277
299792458000.0,4.3,0.8,1.1,0.05,0.044444,0.08,87200000000.0,-43.124,2.5987,2.5987,-3.9348
299792458000.0,4.3,0.8,1.1,0.05,0.26667,0.026667000000000003,87600000000.0,-31.18,2.6363,2.6363,-3.8474
299792458000.0,4.3,0.8,1.1,0.05,0.13333,0.026667000000000003,87150000000.0,-44.911,2.6229,2.6229,-3.8951
299792458000.0,4.3,0.8,1.1,0.05,0.044444,0.026667000000000003,86900000000.0,-40.01,2.5975,2.5975,-3.9291
299792458000.0,4.3,0.8,1.1,0.07,0.26667,0.24,89050000000.0,-4.6852,0.017129,0.017129,-6.1406
299792458000.0,4.3,0.8,1.1,0.07,0.13333,0.24,89800000000.0,-33.339,4.1514,4.1514,-2.3629
